,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
73,"생각한것보다 매콤한데 
간식으로 먹기 너무 좋아요! 
하나씩 소포장 되어있는것도 아주 만족스럽습니다~",5,2024.02.25.,수량: 2Box(24개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
74,꽤 맛있게 잘먹었어요 전자레인지로 조리가능해서 간평합니다,5,2024.02.24.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
75,쫀득하니 맛있의요~,5,2024.02.23.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
76,부드럽고 쫀득달달하네요,5,2024.02.23.,수량: 1Box(12개입) / 맛선택: 기본맛,구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
77,계속 광고만 보다가 비싸서 고민하다가 질렀는데 존맛탱 ㅜㅜ 매콤하이 떡볶이 먹는거같아여 너무맛잇어요ㅠㅠ 근디 좀 비싼감이 잇숨 근데 마싯숨,5,2024.02.22.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
78,"와.. 너무 맛있어서 거의 다 먹었오요
이거 무조건 뜨겁게 해서 먹어야 더 떡볶이 맛이 나구요 치즈가 많이 녹아서 더 쫄깃 하고 맛있어요
술 안주로도 좋구 다른 양식류에 곁들여 먹어도 최고에요! 다 먹으면 또 사러 올게요!!",5,2024.02.21.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
79,아이가 먹어보고 싶다고해서 구입했는데 맛있다고 엄청좋아하네요   딱 치즈떡볶이맛이예요ㅎ,5,2024.02.20.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
80,"진짜 매콥 부드럽 치즈많이 있어서 조아여
맛있어요 채고 배송빨라요 감사합니다",5,2024.02.20.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요
81,조아요맛잇어요!!),5,2024.02.20.,수량: 1Box(12개입) / 맛선택: 기본맛,,평범해요,아주 넉넉해요,적당해요
82,조아요맛잇어요!!!ㄴ,5,2024.02.20.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
